Time,Input,Output
1.73E-06,0,-0.020833334
1.74E-06,0,0
1.74E-06,0,-0.020833334
1.74E-06,0,0
1.74E-06,-0.020833334,-0.020833334
1.74E-06,0,0
1.75E-06,0.020833334,0
1.75E-06,0,0
1.75E-06,-0.020833334,0
1.75E-06,0,-0.020833334
1.75E-06,0,-0.020833334
1.76E-06,0,0
1.76E-06,0,-0.020833334
1.76E-06,0,0
1.76E-06,0,-0.020833334
1.76E-06,0,0
1.77E-06,-0.020833334,0
1.77E-06,0,0
1.77E-06,0,-0.020833334
1.77E-06,0,0
1.77E-06,-0.020833334,-0.020833334
1.78E-06,0,0
1.78E-06,0,0
1.78E-06,-0.020833334,0
1.78E-06,0,-0.020833334
1.78E-06,-0.020833334,0
1.79E-06,0,-0.020833334
1.79E-06,-0.020833334,0
1.79E-06,0,-0.020833334
1.79E-06,-0.020833334,0
1.79E-06,-0.020833334,0
1.80E-06,-0.020833334,0
1.80E-06,0,0
1.80E-06,0,0
1.80E-06,0,0
1.80E-06,-0.020833334,0
1.81E-06,-0.020833334,-0.020833334
1.81E-06,0,0
1.81E-06,0,-0.020833334
1.81E-06,-0.020833334,0
1.81E-06,-0.020833334,-0.020833334
1.82E-06,0,0
1.82E-06,-0.020833334,0
1.82E-06,-0.020833334,0
1.82E-06,-0.020833334,0
1.82E-06,0,0
1.83E-06,0,0
1.83E-06,-0.020833334,0
1.83E-06,0,-0.020833334
1.83E-06,-0.020833334,0
1.83E-06,-0.020833334,0
1.84E-06,-0.020833334,0
1.84E-06,-0.020833334,0
1.84E-06,0,0
1.84E-06,0,-0.020833334
1.84E-06,0,0
1.85E-06,-0.020833334,0
1.85E-06,0,0
1.85E-06,0,0
1.85E-06,-0.020833334,0
1.85E-06,-0.020833334,0
1.86E-06,0,0
1.86E-06,-0.020833334,-0.020833334
1.86E-06,-0.020833334,0
1.86E-06,-0.020833334,0
1.86E-06,-0.020833334,0
1.87E-06,0,-0.020833334
1.87E-06,-0.020833334,0
1.87E-06,-0.020833334,-0.020833334
1.87E-06,0,0
1.87E-06,0,-0.020833334
1.88E-06,-0.020833334,0
1.88E-06,-0.020833334,-0.020833334
1.88E-06,0,0
1.88E-06,-0.020833334,-0.020833334
1.88E-06,-0.020833334,0
1.89E-06,-0.020833334,-0.020833334
1.89E-06,0,-0.020833334
1.89E-06,0,-0.020833334
1.89E-06,-0.020833334,0
1.89E-06,-0.020833334,-0.020833334
1.90E-06,0,0
1.90E-06,-0.020833334,-0.020833334
1.90E-06,-0.020833334,0
1.90E-06,0,0
1.90E-06,0,0
1.91E-06,0,-0.020833334
1.91E-06,0,0
1.91E-06,0,-0.020833334
